[CONTROLS] ---- InputMap audit and repair ----
[CONTROLS] deploy  action_existed=true  keys_before=[]  wanted=Space  added=true
[CONTROLS] turnleft  action_existed=true  keys_before=[]  wanted=Q  added=true
[CONTROLS] turnright  action_existed=true  keys_before=[]  wanted=E  added=true
[CONTROLS] camera_cycle  action_existed=true  keys_before=[]  wanted=C  added=true
[CONTROLS] cutaway  action_existed=true  keys_before=[]  wanted=X  added=true
[CONTROLS] reserve  action_existed=true  keys_before=[]  wanted=V  added=true
[CONTROLS] flare  action_existed=true  keys_before=[]  wanted=F  added=true
[CONTROLS] togglehud  action_existed=true  keys_before=[]  wanted=H  added=true
[CONTROLS] flightcheck  action_existed=true  keys_before=[]  wanted=G  added=true
[CONTROLS] restart  action_existed=true  keys_before=[]  wanted=R  added=true
[CONTROLS] j  action_existed=true  keys_before=["J"]  wanted=J  added=false
[CONTROLS] pause  action_existed=true  keys_before=[]  wanted=Escape  added=true
[CONTROLS] ---- 11 binding(s) added ----
[PIPLIVE] SubViewport now shares the main World3D
[PIPLIVE] hid 2 standalone PiP prop(s); camera kept
[PIPLIVE] eye=(100.0, 1830.5, -100.0) state=0 deployed=false framing=aircraft/sky
[PIPLIVE] eye=(100.0, 1830.5, -100.0) state=0 deployed=false framing=aircraft/sky
[PIPLIVE] eye=(100.0, 1830.5, -100.0) state=0 deployed=false framing=aircraft/sky
[CTRL] pressed=j  key=J  state=0  deployed=false  alt_m=1828.8
[PIPLIVE] eye=(287.7334, 1740.651, 740.0939) state=1 deployed=false framing=aircraft/sky
[CTRL] pressed=turnleft  key=Q  state=1  deployed=false  alt_m=1668.7
[CTRL] pressed=turnright  key=E  state=1  deployed=false  alt_m=1546.6
[PIPLIVE] eye=(278.7141, 1543.378, 716.8951) state=1 deployed=false framing=aircraft/sky
[CTRL] pressed=deploy  key=Space  state=1  deployed=false  alt_m=1423.3
[GLIDE_HDR] t,brake_L,brake_R,sym,diff,fwd_speed,turn_rate_deg_s,heading_deg,descent_m_s,glide_ratio,x,z,raw_descent
[GLIDE],0.01666666666667,0.0,0.22753759813931,0.11376879906966,0.22753759813931,10.0989511113683,-14.3954986809225,-0.23992497801538,3.9158905843247,2.57896662174229,272.073089599609,699.983032226562,18.0
[GLIDE],0.03333333333333,0.0,0.2148306125607,0.10741530628035,0.2148306125607,10.1492707742596,-13.6230499497078,-0.46697581051051,3.93168743999057,2.58140325983898,272.071716308594,700.152160644531,18.0
[GLIDE],0.05,0.0,0.20238746644626,0.10119373322313,0.20238746644626,10.1985456328728,-12.8630313153548,-0.68135966576642,3.94737471510723,2.58362744074976,272.069702148438,700.322143554688,18.0
[GLIDE],0.06666666666667,0.0,0.1902204205964,0.0951102102982,0.1902204205964,10.2467271344383,-12.1164239928557,-0.88330006564735,3.96292039104895,2.58565051106819,272.067077636719,700.492919921875,18.0
[GLIDE],0.08333333333333,0.0,0.17834040704201,0.089170203521,0.17834040704201,10.2937719881137,-11.3841357490862,-1.07303566146545,3.97829402666193,2.58748396149866,272.063873291016,700.664428710938,18.0
[GLIDE],0.1,0.0,0.16675708226264,0.08337854113132,0.16675708226264,10.33964195424,-10.6670016323134,-1.25081902200401,3.9934668373758,2.58913930559503,272.060119628906,700.836730957031,18.0
[GLIDE],0.11666666666667,0.0,0.15547888013482,0.07773944006741,0.15547888013482,10.3843036346661,-9.96578487525961,-1.41691543659167,4.00841175748744,2.59062797509985,272.055847167969,701.009765625,18.0
[GLIDE],0.13333333333333,0.0,0.14451306450859,0.0722565322543,0.14451306450859,10.427728264546,-9.28117796712489,-1.57160173604375,4.02310348663878,2.59196123072094,272.051086425781,701.183471679688,18.0
[GLIDE],0.15,0.0,0.13386578131722,0.06693289065861,0.13386578131722,10.4698915059838,-8.61380388841925,-1.71516513418407,4.03751852156914,2.59315008712698,272.045867919922,701.35791015625,18.0
[GLIDE],0.16666666666667,0.0,0.1235421101313,0.06177105506565,0.1235421101313,10.5107732438801,-7.96421750112776,-1.8479020925362,4.05163517425568,2.59420525092341,272.040222167969,701.533020019531,18.0
